column,dtype,non_null_count,null_count,null_pct,unique_count,duplicate_count,cardinality_pct
CODIGO_UNICO,Int64,5593594,0,0.0,199420,5394174,3.57
DES_PRODUCTO,String,5593594,0,0.0,207337,5386257,3.71
DES_ACCION,String,5593594,0,0.0,202218,5391376,3.62
DES_TIPO_COMPONENTE,String,5593594,0,0.0,10,5593584,0.0
DES_UM_PRODU,String,5593594,0,0.0,535,5593059,0.01
VAL_META_PRODU,Float64,4416887,1176707,21.04,39290,4377597,0.89
DES_UM_CAPAC,String,5593594,0,0.0,67,5593527,0.0
VAL_META_CAPAC,String,5593594,0,0.0,255068,5338526,4.56
COSTO_INVERSION,Float64,5593085,509,0.01,1789836,3803249,32.0
PERIODO,String,5593594,0,0.0,2022,5591572,0.04
VALORIZ_ACUM,Float64,1336532,4257062,76.11,621201,715331,46.48
AVANCE,String,5593594,0,0.0,12156,5581438,0.22
DES_OBSERVACIONES,String,5593594,0,0.0,548276,5045318,9.8
DES_ETAPA,String,5593594,0,0.0,7,5593587,0.0
